0,1
1,6.12323e-17
1.22465e-16,-1
-1,-1.83697e-16
-2.44929e-16,1
1,3.06162e-16
3.67394e-16,-1
-1,-4.28626e-16
-4.89859e-16,1
1,5.51091e-16
6.12323e-16,-1
-1,-2.44991e-15
-7.34788e-16,1
1,-9.80336e-16
8.57253e-16,-1
-1,-2.69484e-15
-9.79717e-16,1
1,-7.35407e-16
1.10218e-15,-1
-1,-2.93977e-15
-1.22465e-15,1
1,-4.90478e-16
4.89983e-15,-1
-1,-3.1847e-15
-1.46958e-15,1
1,-2.45548e-16
-1.96067e-15,-1
-1,-3.42963e-15
-1.71451e-15,1
1,-6.18981e-19
5.38968e-15,-1
-1,-3.67456e-15
-1.95943e-15,1
1,2.4431e-16
-1.47081e-15,-1
-1,-3.91949e-15
-2.20436e-15,1
1,4.8924e-16
5.87954e-15,-1
-1,-4.16442e-15
-2.44929e-15,1
1,7.8396e-15
-9.80955e-16,-1
-1,-4.40935e-15
-9.79965e-15,1
1,9.79098e-16
6.3694e-15,-1
-1,2.45115e-15
-2.93915e-15,1
1,8.32946e-15
-4.91097e-16,-1
-1,-4.89921e-15
3.92135e-15,1
1,1.46896e-15
6.85926e-15,-1
-1,1.96129e-15
-3.42901e-15,1
1,8.81931e-15
-1.23796e-18,-1
-1,-5.38906e-15
-1.07794e-14,1
1,1.95882e-15
7.34912e-15,-1
-1,1.47143e-15
-3.91887e-15,1
1,9.30917e-15
4.88621e-16,-1
-1,-5.87892e-15
2.94163e-15,1
1,2.44867e-15
7.83898e-15,-1
-1,9.81574e-16
-4.40873e-15,1
1,9.79903e-15
9.78479e-16,-1
-1,-6.36878e-15
-1.17591e-14,1
1,2.93853e-15
8.32884e-15,-1
-1,4.91716e-16
-4.89859e-15,1
1,1.02889e-14
1.56792e-14,-1
-1,7.35221e-15
1.96191e-15,1
1,3.42839e-15
8.81869e-15,-1
-1,-1.4209e-14
-1.95993e-14,1
1,-3.43211e-15
1.9582e-15,-1
-1,-7.3485e-15
-1.27388e-14,1
1,1.81291e-14
-4.9023e-15,-1
-1,-4.88002e-16
-5.8783e-15,1
1,1.12686e-14
1.66589e-14,-1
-1,6.3725e-15
9.82193e-16,1
1,-2.40136e-14
9.79841e-15,-1
-1,-1.51887e-14
7.84269e-15,1
1,-2.45239e-15
2.93791e-15,-1
-1,-8.32822e-15
-1.37185e-14,1
1,1.91088e-14
-3.92258e-15,-1
-1,-1.46772e-15
-6.85802e-15,1
1,1.22483e-14
1.76386e-14,-1
-1,5.39278e-15
2.47592e-18,1
1,5.38783e-15
1.07781e-14,-1
-1,-1.61684e-14
-2.15587e-14,1
1,-1.47267e-15
3.91763e-15,-1
-1,-9.30793e-15
-1.46982e-14,1
1,2.00885e-14
-2.94287e-15,-1
-1,-2.44744e-15
-7.83774e-15,1
1,1.3228e-14
1.86183e-14,-1
-1,4.41306e-15
-9.77242e-16,1
1,6.36754e-15
1.17578e-14,-1
-1,-1.71482e-14
5.88326e-15,1
1,-4.92954e-16
4.89735e-15,-1
-1,-1.02877e-14
-1.5678e-14,1
1,2.10683e-14
-1.96315e-15,-1
-1,-3.42715e-15
-8.81746e-15,1
1,-1.42139e-14
1.95981e-14,-1
-1,3.43334e-15
-1.95696e-15,1
1,7.34726e-15
1.27376e-14,-1
-1,-1.81279e-14
-2.35182e-14,1
1,4.86764e-16
5.87707e-15,-1
-1,-1.12674e-14
-1.66577e-14,1
1,2.2048e-14
-9.83431e-16,-1
-1,-4.40687e-15
-9.79717e-15,1
1,1.51875e-14
2.05778e-14,-1
-1,-2.59681e-14
-3.13584e-14,1
1,3.67487e-14
-1.47044e-14,-1
-1,-4.75293e-14
3.92382e-15,1
1,1.46648e-15
6.85678e-15,-1
-1,-1.22471e-14
-1.76374e-14,1
1,2.30277e-14
2.8418e-14,-1
-1,-3.38083e-14
-3.91986e-14,1
1,-1.22545e-14
-6.86421e-15,-1
-1,1.47391e-15
-3.91639e-15,1
1,9.3067e-15
1.4697e-14,-1
-1,-2.00873e-14
-2.54776e-14,1
1,3.08679e-14
3.62582e-14,-1
-1,1.51949e-14
9.8046e-15,1
1,-4.4143e-15
9.76004e-16,-1
-1,-6.36631e-15
-1.17566e-14,1
1,1.71469e-14
2.25372e-14,-1
-1,-2.79275e-14
-3.33178e-14,1
1,3.87081e-14
-1.2745e-14,-1
-1,7.35469e-15
